o2used,comrte,tothired,totmembers,camps,year,success,ratio_hired,season_Spring,season_Summer,season_Winter,peakid_Autre,peakid_BARU,peakid_CHOY,peakid_DHA1,peakid_EVER,peakid_LHOT,peakid_MAKA,peakid_MANA
0,0,3,6,3,1987,1,0.5,1,0,0,1,0,0,0,0,0,0,0
0,1,2,2,4,1987,1,1.0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,4,0,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,4,6,3,1987,1,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0
0,0,1,4,2,1987,0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0,1,10,1,1987,0,0.1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,2,0,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,4,1987,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,10,3,1987,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,2,1987,1,0.25,0,0,0,0,0,0,1,0,0,0,0
0,1,1,5,1,1987,0,0.2,0,0,0,0,0,0,0,0,0,0,0
0,0,2,10,2,1987,0,0.2,0,0,0,1,0,0,0,0,0,0,0
1,0,5,15,3,1987,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1
0,0,0,10,0,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,17,1,1987,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,4,2,1987,0,0.5,0,0,0,1,0,0,0,0,0,0,0
0,0,2,8,4,1987,0,0.25,0,0,0,1,0,0,0,0,0,0,0
0,0,3,5,2,1987,0,0.6,0,0,0,0,0,0,1,0,0,0,0
0,0,2,2,2,1987,0,1.0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,4,2,1987,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,4,11,4,1987,1,0.36363636363636365,0,0,0,1,0,0,0,0,0,0,0
0,0,1,3,0,1987,0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0
0,0,3,5,3,1987,1,0.6,0,0,0,1,0,0,0,0,0,0,0
1,1,5,8,3,1987,1,0.625,0,0,0,0,0,1,0,0,0,0,0
0,0,0,6,0,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,15,2,1987,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,7,2,1987,0,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,0
0,0,0,4,2,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,8,4,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,6,2,1987,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,4,1987,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,2,0,1987,1,0.0,0,0,0,0,0,1,0,0,0,0,0
0,0,5,8,0,1987,1,0.625,0,0,0,1,0,0,0,0,0,0,0
